10/02/2016, 793550,722130,880841, 12437 NW Woodland Court ,  Portland, OR
10/02/2016, 392732,353459,432005, 363 Carlsbad Village Dr ,  Carlsbad, CA
10/02/2016, 893453,848780,955995, 246 Hemlock Ave ,  Carlsbad, CA
10/02/2016, 9316290,4844471,13694947, 1837 S Pacific St ,  Oceanside, CA
10/02/2016, 806378,725740,878952, 1101 South Pacific Street ,  Oceanside, CA
10/02/2016, 1020474,928631,1122521, 804 N The Strand UNIT 8 ,  Oceanside, CA
10/02/2016, 5737627,4647478,8204807, 1812 Calle De Los Alamos ,  San Clemente, CA
10/02/2016, 1666444,1483135,1849753, 119 Boca De La Playa # B ,  San Clemente, CA
10/02/2016, 5840454,3913104,8527063, 35545 Beach Rd ,  Dana Point, CA
10/02/2016, 4473116,3891611,5054621, 35321 Beach Rd ,  Dana Point, CA
10/02/2016, 1829187,1426766,2012106, 34594 Camino Capistrano ,  Dana Point, CA
10/02/2016, 1307969,1242571,1373367, 43 Hancock St ,  Laguna Niguel, CA
10/02/2016, 648275,615861,680689, 111 Tamarack Ave APT 204 ,  Carlsbad, CA
10/02/2016, 1484746,1365966,1588678, 2955 Ocean St APT 15 ,  Carlsbad, CA
10/02/2016, 1866127,1698176,2071401, 341 Oak Ave ,  Carlsbad, CA
10/02/2016, 5540792,4709673,7313845, 500 Lakeview Ct ,  Miami Beach, FL
10/02/2016, 5633676,4506941,7380116, 528 Lakeview Ct ,  Miami Beach, FL
10/02/2016, 1006317,895622,1147201, 550 W 50th St ,  Miami Beach, FL
10/02/2016, 1011251,859563,1223614, 550 W 51st Ter ,  Miami Beach, FL
10/02/2016, 853555,725522,947446, 751 W 51st St ,  Miami Beach, FL
10/02/2016, 9749632,6824742,16184389, 5050 N Bay Rd ,  Miami Beach, FL
10/02/2016, 4824875,3811651,5500358, 4900 Pine Tree Dr ,  Miami Beach, FL
10/02/2016, 1395373,976761,1688401, 616 W 51st St ,  Miami Beach, FL
10/02/2016, 1666953,1466919,2033683, 5150 Cherokee Ave ,  Miami Beach, FL
10/02/2016, 1630923,1402594,1908180, 755 W 50th St ,  Miami Beach, FL
10/02/2016, 1797472,1635700,2031143, 790 W 50th St ,  Miami Beach, FL
10/02/2016, 1916300,1724670,2222908, 435 W 51st St ,  Miami, FL
10/02/2016, 2710255,2276614,3225203, 5025 Delaware Ave ,  Miami Beach, FL
10/02/2016, 1006944,906250,1117708, 580 W 49th St ,  Miami Beach, FL
10/02/2016, 13859325,6929662,24115226, 5004 N Bay Rd ,  Miami Beach, FL
