13/02/2016, 893453,848780,955995, 246 Hemlock Ave ,  Carlsbad, CA
13/02/2016, 9316290,4844471,13694947, 1837 S Pacific St ,  Oceanside, CA
13/02/2016, 795398,699950,859030, 1101 South Pacific Street ,  Oceanside, CA
13/02/2016, 1016374,935064,1107848, 804 N The Strand UNIT 8 ,  Oceanside, CA
13/02/2016, 5743000,4249820,8557070, 1812 Calle De Los Alamos ,  San Clemente, CA
13/02/2016, 1666444,1483135,1849753, 119 Boca De La Playa # B ,  San Clemente, CA
13/02/2016, 5898364,3656986,10027219, 35545 Beach Rd ,  Dana Point, CA
13/02/2016, 4461739,3837096,5220235, 35321 Beach Rd ,  Dana Point, CA
13/02/2016, 1837174,1690200,1965776, 34594 Camino Capistrano ,  Dana Point, CA
13/02/2016, 1309863,1244370,1375356, 43 Hancock St ,  Laguna Niguel, CA
13/02/2016, 650294,617779,682809, 111 Tamarack Ave APT 204 ,  Carlsbad, CA
13/02/2016, 1485091,1232626,1707855, 2955 Ocean St APT 15 ,  Carlsbad, CA
13/02/2016, 1847372,1699582,2069057, 341 Oak Ave ,  Carlsbad, CA
13/02/2016, 2840065.84615 ,  SoCal
13/02/2016, 328659,302366,351665, 6151 Chrysler Cir ,  Garden Valley, CA
13/02/2016, 253627,240946,266308, 6226 Homestead Dr ,  Placerville, CA
13/02/2016, 221508,197142,254734, 4470 Pleasant Valley Rd ,  Placerville, CA
13/02/2016, 450922,360738,518560, 5600 Siesta Ln ,  Somerset, CA
13/02/2016, 282393,256978,304984, 1281 Sand Ridge Rd ,  El Dorado, CA
13/02/2016, 295918,278163,310714, 6560 Rodwell Canyon Rd ,  Somerset, CA
13/02/2016, 355286,337522,383709, 6650 Crystal Blvd ,  El Dorado, CA
13/02/2016, 312616.142857 ,  Flosum CA
13/02/2016, 5540792,4709673,7313845, 500 Lakeview Ct ,  Miami Beach, FL
13/02/2016, 5647376,3727268,7906326, 528 Lakeview Ct ,  Miami Beach, FL
13/02/2016, 1006317,895622,1147201, 550 W 50th St ,  Miami Beach, FL
13/02/2016, 1005675,824653,1216867, 550 W 51st Ter ,  Miami Beach, FL
13/02/2016, 854621,692243,1025545, 751 W 51st St ,  Miami Beach, FL
13/02/2016, 9849365,6205100,15857478, 5050 N Bay Rd ,  Miami Beach, FL
13/02/2016, 4815753,3756287,5634431, 4900 Pine Tree Dr ,  Miami Beach, FL
13/02/2016, 1395896,1032963,1744870, 616 W 51st St ,  Miami Beach, FL
13/02/2016, 1667238,1550531,2067375, 5150 Cherokee Ave ,  Miami Beach, FL
13/02/2016, 1628797,1465917,1824253, 755 W 50th St ,  Miami Beach, FL
13/02/2016, 1796393,1598790,2155672, 790 W 50th St ,  Miami Beach, FL
13/02/2016, 1912195,1701854,2294634, 435 W 51st St ,  Miami Beach, FL
13/02/2016, 2724215,2370067,3160089, 5025 Delaware Ave ,  Miami Beach, FL
13/02/2016, 1005669,864875,1166576, 580 W 49th St ,  Miami Beach, FL
13/02/2016, 13751346,8525834,23102261, 5004 N Bay Rd ,  Miami Beach, FL
13/02/2016, 3640109.86667 ,  Miami Beach
