20/02/2016, 893453,848780,955995 ,  246 Hemlock Ave ,  Carlsbad, CA
20/02/2016, 6352538,5399657,8639452 ,  1837 S Pacific St ,  Oceanside, CA
20/02/2016, 770052,677646,870159 ,  1101 South Pacific Street ,  Oceanside, CA
20/02/2016, 1008155,917421,1078726 ,  804 N The Strand UNIT 8 ,  Oceanside, CA
Error: bad address 1812 Calle De Los Alamos   San Clemente, CA
20/02/2016, 1492634,1343371,1597118 ,  119 Boca De La Playa # B ,  San Clemente, CA
20/02/2016, 5974467,3883404,9140934 ,  35545 Beach Rd ,  Dana Point, CA
20/02/2016, 4441299,3641865,5018668 ,  35321 Beach Rd ,  Dana Point, CA
20/02/2016, 1834237,1430705,2091030 ,  34594 Camino Capistrano ,  Dana Point, CA
20/02/2016, 1315533,1249756,1381310 ,  43 Hancock St ,  Laguna Niguel, CA
20/02/2016, 650294,617779,682809 ,  111 Tamarack Ave APT 204 ,  Carlsbad, CA
20/02/2016, 1469580,1249143,1675321 ,  2955 Ocean St APT 15 ,  Carlsbad, CA
20/02/2016, 1809786,1538318,2045058 ,  341 Oak Ave ,  Carlsbad, CA
20/02/2016, 2334335.66667 ,  SoCal
20/02/2016, 328659,302366,351665 ,  6151 Chrysler Cir ,  Garden Valley, CA
20/02/2016, 255375,240052,275805 ,  6226 Homestead Dr ,  Placerville, CA
20/02/2016, 218235,192047,253153 ,  4470 Pleasant Valley Rd ,  Placerville, CA
20/02/2016, 446630,348371,535956 ,  5600 Siesta Ln ,  Somerset, CA
20/02/2016, 282393,256978,304984 ,  1281 Sand Ridge Rd ,  El Dorado, CA
20/02/2016, 301822,280694,319931 ,  6560 Rodwell Canyon Rd ,  Somerset, CA
20/02/2016, 354813,322880,393842 ,  6650 Crystal Blvd ,  El Dorado, CA
20/02/2016, 312561.0 ,  Flosum CA
20/02/2016, 5540792,4709673,7313845 ,  500 Lakeview Ct ,  Miami Beach, FL
20/02/2016, 5685188,4207039,7504448 ,  528 Lakeview Ct ,  Miami Beach, FL
20/02/2016, 1006317,895622,1147201 ,  550 W 50th St ,  Miami Beach, FL
20/02/2016, 1002924,832427,1133304 ,  550 W 51st Ter ,  Miami Beach, FL
20/02/2016, 853435,759557,1015588 ,  751 W 51st St ,  Miami Beach, FL
20/02/2016, 9937839,7055866,16198678 ,  5050 N Bay Rd ,  Miami Beach, FL
20/02/2016, 4782467,3921623,5691136 ,  4900 Pine Tree Dr ,  Miami Beach, FL
20/02/2016, 1400219,1022160,1890296 ,  616 W 51st St ,  Miami Beach, FL
20/02/2016, 1662671,1546284,1912072 ,  5150 Cherokee Ave ,  Miami Beach, FL
20/02/2016, 1624530,1445832,1803228 ,  755 W 50th St ,  Miami Beach, FL
20/02/2016, 1806535,1643947,1951058 ,  790 W 50th St ,  Miami Beach, FL
20/02/2016, 1892700,1722357,2346948 ,  435 W 51st St ,  Miami Beach, FL
20/02/2016, 2723681,1961050,3813153 ,  5025 Delaware Ave ,  Miami Beach, FL
20/02/2016, 1005765,875016,1176745 ,  580 W 49th St ,  Miami Beach, FL
20/02/2016, 13420728,8857680,22815237 ,  5004 N Bay Rd ,  Miami Beach, FL
20/02/2016, 3623052.73333 ,  Miami Beach
